,Time,House,School,Health_center,Church,Water_pump,Class_name
0,20130101:0007,0.059,0.15,0.15,0.1,0.14,1
1,20130101:0107,0.051,0.15,0.15,0.1,0.14,1
2,20130101:0207,0.051,0.15,0.15,0.1,0.14,1
3,20130101:0307,0.051,0.15,0.15,0.1,0.29,1
4,20130101:0407,0.177,0.15,0.15,0.85,0.43,1
5,20130101:0507,0.271,0.15,0.15,0.85,0.57,1
6,20130101:0607,0.298,0.46,0.46,0.5,0.71,1
7,20130101:0707,0.271,0.92,0.92,0.1,0.86,1
8,20130101:0807,0.227,0.92,0.92,0.1,1.0,1
9,20130101:0907,0.233,1.0,1.0,0.1,1.0,1
10,20130101:1007,0.268,1.0,1.0,0.1,1.0,1
11,20130101:1107,0.288,1.0,1.0,1.0,0.86,1
12,20130101:1207,0.374,1.0,1.0,1.0,0.71,1
13,20130101:1307,0.281,1.0,1.0,1.0,0.71,1
14,20130101:1407,0.226,1.0,1.0,0.5,0.86,1
15,20130101:1507,0.215,1.0,1.0,1.0,0.86,1
16,20130101:1607,0.221,0.85,0.85,1.0,1.0,1
17,20130101:1707,0.356,0.31,0.31,0.5,1.0,1
18,20130101:1807,0.667,0.15,0.15,1.0,0.71,1
19,20130101:1907,0.543,0.15,0.15,1.0,0.57,1
20,20130101:2007,0.366,0.15,0.15,0.1,0.29,1
21,20130101:2107,0.26,0.15,0.15,0.1,0.14,1
22,20130101:2207,0.162,0.15,0.15,0.1,0.14,1
23,20130101:2307,0.11,0.15,0.15,0.1,0.14,1
24,20130102:0007,0.059,0.15,0.15,0.1,0.14,1
25,20130102:0107,0.051,0.15,0.15,0.1,0.14,1
26,20130102:0207,0.051,0.15,0.15,0.1,0.14,1
27,20130102:0307,0.051,0.15,0.15,0.1,0.29,1
28,20130102:0407,0.177,0.15,0.15,0.85,0.43,1
29,20130102:0507,0.271,0.15,0.15,0.85,0.57,1
30,20130102:0607,0.298,0.46,0.46,0.5,0.71,1
31,20130102:0707,0.271,0.92,0.92,0.1,0.86,1
32,20130102:0807,0.227,0.92,0.92,0.1,1.0,1
33,20130102:0907,0.233,1.0,1.0,0.1,1.0,1
34,20130102:1007,0.268,1.0,1.0,0.1,1.0,1
35,20130102:1107,0.288,1.0,1.0,1.0,0.86,1
36,20130102:1207,0.374,1.0,1.0,1.0,0.71,1
37,20130102:1307,0.281,1.0,1.0,1.0,0.71,1
38,20130102:1407,0.226,1.0,1.0,0.5,0.86,1
39,20130102:1507,0.215,1.0,1.0,1.0,0.86,1
40,20130102:1607,0.221,0.85,0.85,1.0,1.0,1
41,20130102:1707,0.356,0.31,0.31,0.5,1.0,1
42,20130102:1807,0.667,0.15,0.15,1.0,0.71,1
43,20130102:1907,0.543,0.15,0.15,1.0,0.57,1
44,20130102:2007,0.366,0.15,0.15,0.1,0.29,1
45,20130102:2107,0.26,0.15,0.15,0.1,0.14,1
46,20130102:2207,0.162,0.15,0.15,0.1,0.14,1
47,20130102:2307,0.11,0.15,0.15,0.1,0.14,1
48,20130103:0007,0.059,0.15,0.15,0.1,0.14,1
49,20130103:0107,0.051,0.15,0.15,0.1,0.14,1
50,20130103:0207,0.051,0.15,0.15,0.1,0.14,1
51,20130103:0307,0.051,0.15,0.15,0.1,0.29,1
52,20130103:0407,0.177,0.15,0.15,0.85,0.43,1
53,20130103:0507,0.271,0.15,0.15,0.85,0.57,1
54,20130103:0607,0.298,0.46,0.46,0.5,0.71,1
55,20130103:0707,0.271,0.92,0.92,0.1,0.86,1
56,20130103:0807,0.227,0.92,0.92,0.1,1.0,1
57,20130103:0907,0.233,1.0,1.0,0.1,1.0,1
58,20130103:1007,0.268,1.0,1.0,0.1,1.0,1
59,20130103:1107,0.288,1.0,1.0,1.0,0.86,1
60,20130103:1207,0.374,1.0,1.0,1.0,0.71,1
61,20130103:1307,0.281,1.0,1.0,1.0,0.71,1
62,20130103:1407,0.226,1.0,1.0,0.5,0.86,1
63,20130103:1507,0.215,1.0,1.0,1.0,0.86,1
64,20130103:1607,0.221,0.85,0.85,1.0,1.0,1
65,20130103:1707,0.356,0.31,0.31,0.5,1.0,1
66,20130103:1807,0.667,0.15,0.15,1.0,0.71,1
67,20130103:1907,0.543,0.15,0.15,1.0,0.57,1
68,20130103:2007,0.366,0.15,0.15,0.1,0.29,1
69,20130103:2107,0.26,0.15,0.15,0.1,0.14,1
70,20130103:2207,0.162,0.15,0.15,0.1,0.14,1
71,20130103:2307,0.11,0.15,0.15,0.1,0.14,1
72,20130104:0007,0.059,0.15,0.15,0.1,0.14,1
73,20130104:0107,0.051,0.15,0.15,0.1,0.14,1
74,20130104:0207,0.051,0.15,0.15,0.1,0.14,1
75,20130104:0307,0.051,0.15,0.15,0.1,0.29,1
76,20130104:0407,0.177,0.15,0.15,0.85,0.43,1
77,20130104:0507,0.271,0.15,0.15,0.85,0.57,1
78,20130104:0607,0.298,0.46,0.46,0.5,0.71,1
79,20130104:0707,0.271,0.92,0.92,0.1,0.86,1
80,20130104:0807,0.227,0.92,0.92,0.1,1.0,1
81,20130104:0907,0.233,1.0,1.0,0.1,1.0,1
82,20130104:1007,0.268,1.0,1.0,0.1,1.0,1
83,20130104:1107,0.288,1.0,1.0,1.0,0.86,1
84,20130104:1207,0.374,1.0,1.0,1.0,0.71,1
85,20130104:1307,0.281,1.0,1.0,1.0,0.71,1
86,20130104:1407,0.226,1.0,1.0,0.5,0.86,1
87,20130104:1507,0.215,1.0,1.0,1.0,0.86,1
88,20130104:1607,0.221,0.85,0.85,1.0,1.0,1
89,20130104:1707,0.356,0.31,0.31,0.5,1.0,1
90,20130104:1807,0.667,0.15,0.15,1.0,0.71,1
91,20130104:1907,0.543,0.15,0.15,1.0,0.57,1
92,20130104:2007,0.366,0.15,0.15,0.1,0.29,1
93,20130104:2107,0.26,0.0,0.15,0.1,0.14,0
94,20130104:2207,0.162,0.15,0.15,0.1,0.14,1
95,20130104:2307,0.11,0.15,0.15,0.1,0.14,1
96,20130105:0007,0.059,0.15,0.15,0.1,0.14,1
97,20130105:0107,0.051,0.15,0.15,0.1,0.14,1
98,20130105:0207,0.051,0.15,0.15,0.1,0.14,1
99,20130105:0307,0.051,0.15,0.15,0.1,0.29,1
100,20130105:0407,0.177,0.15,0.15,0.85,0.43,1
101,20130105:0507,0.271,0.15,0.15,0.85,0.57,1
102,20130105:0607,0.298,0.46,0.46,0.5,0.71,1
103,20130105:0707,0.271,0.92,0.92,0.1,0.86,1
104,20130105:0807,0.227,0.92,0.92,0.1,1.0,1
105,20130105:0907,0.233,1.0,1.0,0.1,1.0,1
106,20130105:1007,0.268,1.0,1.0,0.1,1.0,1
107,20130105:1107,0.288,1.0,1.0,1.0,0.86,1
