,Time,value,Class_name
0,20130101:0007,0,0
1,20130101:0107,0,0
2,20130101:0207,0,0
3,20130101:0307,0,0
4,20130101:0407,0,0
5,20130101:0507,0,0
6,20130101:0607,0,1
7,20130101:0707,0,1
8,20130101:0807,0,1
9,20130101:0907,0,1
10,20130101:1007,0,1
11,20130101:1107,0,1
12,20130101:1207,0,1
13,20130101:1307,0,1
14,20130101:1407,0,1
15,20130101:1507,0,1
16,20130101:1607,0,1
17,20130101:1707,0,1
18,20130101:1807,0,2
19,20130101:1907,0,2
20,20130101:2007,0,0
21,20130101:2107,0,0
22,20130101:2207,0,0
23,20130101:2307,0,0
24,20130102:0007,0,0
25,20130102:0107,0,0
26,20130102:0207,0,0
27,20130102:0307,0,0
28,20130102:0407,0,0
29,20130102:0507,0,0
30,20130102:0607,0,1
31,20130102:0707,0,1
32,20130102:0807,0,1
33,20130102:0907,0,1
34,20130102:1007,0,1
35,20130102:1107,0,1
36,20130102:1207,0,1
37,20130102:1307,0,1
38,20130102:1407,0,1
39,20130102:1507,0,1
40,20130102:1607,0,1
41,20130102:1707,0,1
42,20130102:1807,0,2
43,20130102:1907,0,2
44,20130102:2007,0,0
45,20130102:2107,0,0
46,20130102:2207,0,0
47,20130102:2307,0,0
48,20130103:0007,0,0
49,20130103:0107,0,0
50,20130103:0207,0,0
51,20130103:0307,0,0
52,20130103:0407,0,0
53,20130103:0507,0,0
54,20130103:0607,0,1
55,20130103:0707,0,1
56,20130103:0807,0,1
57,20130103:0907,0,1
58,20130103:1007,0,1
59,20130103:1107,0,1
60,20130103:1207,0,1
61,20130103:1307,0,1
62,20130103:1407,0,1
63,20130103:1507,0,1
64,20130103:1607,0,1
65,20130103:1707,0,1
66,20130103:1807,0,2
67,20130103:1907,0,2
68,20130103:2007,0,0
69,20130103:2107,0,0
70,20130103:2207,0,0
71,20130103:2307,0,0
72,20130104:0007,0,0
73,20130104:0107,0,0
74,20130104:0207,0,0
75,20130104:0307,0,0
76,20130104:0407,0,0
77,20130104:0507,0,0
78,20130104:0607,0,1
79,20130104:0707,0,1
80,20130104:0807,0,1
81,20130104:0907,0,1
82,20130104:1007,0,1
83,20130104:1107,0,1
84,20130104:1207,0,1
85,20130104:1307,0,1
86,20130104:1407,0,1
87,20130104:1507,0,1
88,20130104:1607,0,1
89,20130104:1707,0,1
90,20130104:1807,0,2
91,20130104:1907,0,2
92,20130104:2007,0,0
93,20130104:2107,0,0
94,20130104:2207,0,0
95,20130104:2307,0,0
96,20130105:0007,0,0
97,20130105:0107,0,0
98,20130105:0207,0,0
99,20130105:0307,0,0
100,20130105:0407,0,0
101,20130105:0507,0,0
102,20130105:0607,0,1
103,20130105:0707,0,1
104,20130105:0807,0,1
105,20130105:0907,0,1
106,20130105:1007,0,1
107,20130105:1107,0,1
108,20130105:1207,0,1
109,20130105:1307,0,1
110,20130105:1407,0,1
111,20130105:1507,0,1
112,20130105:1607,0,1
113,20130105:1707,0,1
114,20130105:1807,0,2
115,20130105:1907,0,2
116,20130105:2007,0,0
117,20130105:2107,0,0
118,20130105:2207,0,0
119,20130105:2307,0,0
120,20130106:0007,0,0
121,20130106:0107,0,0
122,20130106:0207,0,0
123,20130106:0307,0,0
124,20130106:0407,0,0
125,20130106:0507,0,0
126,20130106:0607,0,1
127,20130106:0707,0,1
128,20130106:0807,0,1
129,20130106:0907,0,1
130,20130106:1007,0,1
131,20130106:1107,0,1
132,20130106:1207,0,1
133,20130106:1307,0,1
134,20130106:1407,0,1
135,20130106:1507,0,1
136,20130106:1607,0,1
137,20130106:1707,0,1
138,20130106:1807,0,2
139,20130106:1907,0,2
140,20130106:2007,0,0
141,20130106:2107,0,0
142,20130106:2207,0,0
143,20130106:2307,0,0
144,20130107:0007,0,0
145,20130107:0107,0,0
146,20130107:0207,0,0
147,20130107:0307,0,0
148,20130107:0407,0,0
149,20130107:0507,0,0
150,20130107:0607,0,1
151,20130107:0707,0,1
152,20130107:0807,0,1
153,20130107:0907,0,1
154,20130107:1007,0,1
155,20130107:1107,0,1
156,20130107:1207,0,1
157,20130107:1307,0,1
158,20130107:1407,0,1
159,20130107:1507,0,1
160,20130107:1607,0,1
161,20130107:1707,0,1
162,20130107:1807,0,2
163,20130107:1907,0,2
164,20130107:2007,0,0
165,20130107:2107,0,0
166,20130107:2207,0,0
167,20130107:2307,0,0
168,20130108:0007,0,0
169,20130108:0107,0,0
170,20130108:0207,0,0
171,20130108:0307,0,0
172,20130108:0407,0,0
173,20130108:0507,0,0
174,20130108:0607,0,1
175,20130108:0707,0,1
176,20130108:0807,0,1
177,20130108:0907,0,1
178,20130108:1007,0,1
179,20130108:1107,0,1
180,20130108:1207,0,1
181,20130108:1307,0,1
182,20130108:1407,0,1
183,20130108:1507,0,1
184,20130108:1607,0,1
185,20130108:1707,0,1
186,20130108:1807,0,2
187,20130108:1907,0,2
188,20130108:2007,0,0
189,20130108:2107,0,0
190,20130108:2207,0,0
191,20130108:2307,0,0
192,20130109:0007,0,0
193,20130109:0107,0,0
194,20130109:0207,0,0
195,20130109:0307,0,0
196,20130109:0407,0,0
197,20130109:0507,0,0
198,20130109:0607,0,1
199,20130109:0707,0,1
200,20130109:0807,0,1
201,20130109:0907,0,1
202,20130109:1007,0,1
203,20130109:1107,0,1
204,20130109:1207,0,1
205,20130109:1307,0,1
206,20130109:1407,0,1
207,20130109:1507,0,1
208,20130109:1607,0,1
209,20130109:1707,0,1
210,20130109:1807,0,2
211,20130109:1907,0,2
212,20130109:2007,0,0
213,20130109:2107,0,0
214,20130109:2207,0,0
215,20130109:2307,0,0
216,20130110:0007,0,0
217,20130110:0107,0,0
218,20130110:0207,0,0
219,20130110:0307,0,0
220,20130110:0407,0,0
221,20130110:0507,0,0
222,20130110:0607,0,1
223,20130110:0707,0,1
